,Text,Author
1742,name he had found in A History of Magic.His school books were very interesting. He lay on,JR
5618,"wing. “Ron, you come at it from above—Hermione, stay below and stop it from going down",JR
620,"Smeltings’ boys wore maroon tailcoats, orange knickerbockers, and flat straw hats called",JR
3770,"in the world, replies, of all things, “Music.”",SC
3835,dog on Halloween. It bit him. We think he was trying to steal whatever it’s guarding.”,JR
5703,"one of its massive legs. “Come on, I can’t breathe.”",JR
3896,"Malfoy, Crabbe, and Goyle pushed roughly past the tree, scattering needles everywhere and",JR
775,"Uncle Vernon, trying to knock in a nail with the piece of fruitcake Aunt Petunia had just",JR
202,"in the Seam. Not impossible, but slim. And even though the rules were set up by the Capitol,",SC
346,"Somewhere far away, I can hear the crowd murmuring unhappily as they always do when a",SC
4512,"He climbed carefully along one of the branches, holding tight to his broomstick, trying to see",JR
3648,"but Harry couldn’t sleep. He tried to empty his mind—he needed to sleep, he had to, he had",JR
860,"that day. Most of the time, I perched up in the branches of an old oak, hoping for game to",SC
3437,"hyperventilating now, the whole thing is so nightmarish and I’m losing my grasp on what’s",SC
2941,will think it’s something we plotted together if I seem like it amuses me now.,SC
3312,"Of course, I’ll never be able to get in close enough to the actual nest to cut it free. I’ll have to",SC
3890,“WEASLEY!”,JR
2522,"those blue eyes on mine now, demanding an answer.",SC
6115,"So I free the arrow, tying the tourniquet back as tightly as my frozen fingers can manage. I",SC
5759,"few handfuls of berries from the plastic. “If they fooled Foxface, maybe they can fool Cato as",SC
5811,of his food for when he wakes. He drops off immediately. I pull the sleeping bag up to his chin,SC
124,“So?”snapped Mrs. Dursley.,JR
4491,been brooding about that mirror… been keeping busy… excellent…”,JR
405,"and starts for the front of the stage. “More than you!” he shouts, pointing directly into a",SC
4821,"To drink, to make into cheese, to sell. It’s not even against the law.",SC
3670,"“Two,” she says. “The girls from Districts One and Four are dead. There’s ten of us left.”",SC
3947,catching the torn flap of burlap and ripping it from the bag.,SC
311,"third chair. He’s drunk. Very. The crowd responds with its token applause, but he’s confused",SC
6217,My fingers are still gripping the back of his jacket so tightly that when they take him away it,SC
2289,"“Oh, do that again!” says Caesar, and so I lift up my arms and spin around and around letting",SC
3115,suddenly awake as they crept nearer.,JR
4879,"fewer than yesterday? And then the story started to spread: Harry Potter, the famous Harry",JR
5547,"The distant music stopped. There was a loud bark from the dog, but Hermione had already",JR
2976,"send stabs of pain through my joints. I fall, rather than jump from the tree. It takes several",SC
2946,"“Oh, yeah?” said Malfoy, trying to sneer, but looking worried.",JR
1102,laugh.,JR
1901,"know what you did. But they can’t since it’s secret, so it’d be a waste of effort,” says",SC
655,plainly there could be no mistake:,JR
1318,1 telescope set,JR
1712,shoulder.,JR
4627,"“No, Peeta, I don’t even want to discuss it,” I say, placing my fingers on his lips to quiet him.",SC
3373,"“it’s too dark, we might lose it. Let’s try you out with a few of these.”",JR
4756,us and is just waiting for the right moment to attack. The idea sends me back to the cave.,SC
5651,"“You’ve got to move more quietly,” I say. “Forget about Cato, you’re chasing off every rabbit in",SC
2006,"time something that had been worrying him a lot lately, “I bet I’m the worst in the class.”",JR
2736,gong to sound. What if that's the only water source in the arena? That way they'll guarantee,SC
4831,eye on your goat.”,SC
2871,This teaming up with the Career wolf pack to hunt down the rest of us. No one from District,SC
273,you can’t pretend he’s not careless. He does tend to—what was that?”,JR
1496,"“About once every ten years,” said Griphook with a rather nasty grin.",JR
4159,"he’d touch her, their reflections were so close together, but he felt only air—she and the",JR
1158,"I’ll be naked for sure, I think.",SC
931,"voice, calling me to rise. “Up, up, up! It’s going to be a big, big, big day!” I try and imagine,",SC
4722,"“No—Charlie—your brother, Charlie. In Romania. Studying dragons. We could send Norbert to",JR
679,"Dudley tried to grab the letter to read it, but Uncle Vernon held it high out of his reach. Aunt",JR
1464,thought he saw a burst of fire at the end of a passage and twisted around to see if it was a,JR
3463,"Sick and disoriented, I’m able to form only one thought: Peeta Mellark just saved my life.",SC
5009,"“There’s nothin’ that lives in the forest that’ll hurt yeh if yer with me or Fang,” said Hagrid.",JR
4684,“It’s nearly out.” He ushered them inside.,JR
5350,"Whatever Professor McGonagall had expected, it wasn’t that. The books she was carrying",JR
4972,"that backpack, the one with the number 12 on it that Claudius Templesmith mentioned.",SC
1487,"they hurtled round tight corners. They went rattling over an underground ravine, and Harry",JR
3549,if Snape had started handing out sweets.,JR
3081,"scorched and smoldering as it is, I take the risk of shoving it in my sleeping bag, hoping the",SC
2280,burned alive?” I ask.,SC
4629,"“Well, I don’ s’pose it could hurt ter tell yeh that… let’s see… he borrowed Fluffy from me…",JR
2583,"“Off the green outfit you wore on the train,” he says. I remember now taking it off my",SC
1332,"Besides, dinner isn’t really about food, it’s about planning out our strategies, and Cinna and",SC
350,awake and it was her shrill voice that made the first noise of the day.,JR
3975,"On Christmas Eve, Harry went to bed looking forward to the next day for the food and the fun,",JR
6594,"“Well, I know when it hit me. The night when you shouted out his name from that tree,” says",SC
4489,"two feet away, how hard can it be? Very hard when I realize he’s unable to move an inch on",SC
5506,"“Don’t be stupid,” said Ron.",JR
1396,"how I want you to play it,” says Haymitch to Peeta and I. “Now go get some sleep while the",SC
5831,easily lose his judgment in a fit of temper. Not that I can feel superior on that point. I think of,SC
1814,"through the heart. Then I sever the rope that holds the sandbag for boxing, and the bag splits",SC
1065,“Who?”,JR
2502,"course.” In the light from below, I can see his face now, the awkward way he holds his",SC
3262,"themselves, furious I have made them look foolish. But twilight has arrived and their window",SC
909,"10? I don’t know. I think about the people in their houses, settling in for bed. I imagine my",SC
5757,"berries inside, and goes to toss them into the woods.",SC
427,and Tufty again.,JR
1578,"“Not really. But I can hunt,” I say. “With a bow and arrow.”",SC
3360,overcame her.,SC
2216,"homes and community halls around the country, every television set is turned on. Every",SC
2309,Caesar. His mood is quieter now. “And you volunteered. Can you tell us about her?”,SC
1599,"“There’s always hand-to-hand combat. All you need is to come up with a knife, and you’ll at",SC
6128,the earth closes above them.,SC
3116,a direct hit.,SC
6192,"We stand, our backs pressed together, our empty hands locked tight.",SC
5464,"Neville’s arms snapped to his sides. His legs sprang together. His whole body rigid, he swayed",JR
261,his name!”,JR
4175,"How long he stood there, he didn’t know. The reflections did not fade and he looked and",JR
103,"“And finally, bird watchers everywhere have reported that the nation’s owls have been",JR
4511,landed noiselessly in a towering beech tree.,JR
1174,"into a pig, but I suppose he was so much like a pig anyway there wasn’t much left ter do.”",JR
6330,ecstatically I can’t make out their words. The sentiment is clear though. They are truly thrilled,SC
5328,doesn’t stop him. Where’s Dumbledore’s office?”,JR
3505,my mind because for some reason Gale and Peeta do not coexist well together in my thoughts.,SC
7,"Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big,",JR
895,brought with them.,JR
2854,"near one. Privately, Harry felt she’d had good reason, because Neville managed to have an",JR
6704,"time? For the audience?” he says. His voice isn’t angry. It’s hollow, which is worse. Already",SC
3325,and begin to saw. Blisters burst on my right hand as I awkwardly drag the knife back and,SC
5346,“But this is important.”,JR
3730,“No telling. But it’s good for us. A death should hold the crowd for a bit. Maybe we’ll have,SC
4190,“Are you all right?” said Ron. “You look odd.”,JR
3461,vague idea it might be me. I trip and fall into a small pit lined with tiny orange bubbles that,SC
4864,"“Fifty points each,”said Professor McGonagall, breathing heavily through her long, pointed",JR
2818,"Harry remembered Ron telling him on the train that someone had tried to rob Gringotts, but",JR
479,"cupboard. By the time the market closed, I was shaking so hard I dropped my bundle of baby",SC
2731,He ignored Hermione’s hand.,JR
4759,terrible state in bed.,JR
4817,"rigged up, so they could suspend Norbert between them. They all helped buckle Norbert",JR
3419,"I reach Glimmer just as the cannon fires. The tracker jackers have vanished. This girl, so",SC
6180,thrashing desperately around.,SC
2511,"I bite my lip feeling inferior. While I’ve been ruminating on the availability of trees, Peeta has",SC
4649,to lie there gazing at me forever. He’s great at this stuff.,SC
5016,"up green sparks, right? Get yer wands out an’ practice now—that’s it—an’ if anyone gets in",JR
1589,"Legs, Tongue-Tying and Much, Much More)by Professor Vindictus Viridian.",JR
4470,"crowd. Hermione stood up, her crossed fingers in her mouth, as Harry streaked toward the",JR
263,would be enough to turn any boy’s head. Famous before he can walk and talk! Famous for,JR
4008,"gotten from Hermione. “If that’s what I think it is—they’re really rare, and reallyvaluable.”",JR
6055,"to make his way back around to the tail of the horn and rejoin us. But in the end, despite his",SC
2193,been hard at work. Peeta looks striking in a black suit with flame accents. While we look well,SC
1398,"Peeta and I walk together down the corridor to our rooms. When we get to my door, he leans",SC
2879,"The Career tributes are silent until he gets out of ear shot, then use hushed voices.",SC
3151,The clanging and crashing were enough to wake the whole castle.,JR
5239,simultaneously destroy each other?”,SC
5063,"“Yeah,” said Hagrid, “but have yeh seen anythin’, Ronan? Anythin’ unusual?”",JR
1367,“She’s probably a traitor of some sort. Not likely you’d know her.”,SC
5396,says Peeta.,SC
5866,"But he hadn’t walked five paces before a high voice spoke, though Quirrell wasn’t moving his",JR
1236,"willing to take me on! And with a little extra help, some food, the right weapon, why should I",SC
1201,"the City Circle, where they will welcome us, play the anthem, and escort us into the Training",SC
3350,A bird perched just a few feet from me alerts me that a new day is dawning. In the gray,SC
4997,"Peeta makes it as well. Gale’s not my boyfriend, but would he be, if I opened that door? He",SC
4858,"“I think so,” I say. “Why?”",SC
723,"being in a summer rain, only warmer. I dress in a dark green shirt and pants.",SC
